year,m2_billions_usd,gdp_nominal_billions_usd,real_gdp_growth_pct,population_millions,cpi_u_index_1982_84_eq_100,cpi_decdec_pct,sp500_nominal_total_return_pct,sp500_real_total_return_pct
1929,46.6,104.6,6.4,121.8,17.100,0.60,-8.30,-8.8469
1930,45.7,92.2,-8.5,123.1,16.700,-6.40,-25.12,-20.0000
1931,42.7,77.4,-6.4,124.0,15.200,-9.30,-43.84,-38.0816
1932,36.0,59.5,-12.9,124.8,13.700,-10.30,-8.64,1.8506
1933,32.2,57.2,-1.2,125.6,13.000,0.80,49.98,48.7897
1934,34.4,66.8,10.8,126.4,13.400,1.50,-1.19,-2.6502
1935,39.1,74.2,8.9,127.3,13.700,3.00,46.74,42.4660
1936,43.5,84.8,12.9,128.1,13.900,1.40,31.94,30.1183
1937,45.7,93.0,5.1,128.8,14.400,2.90,-35.34,-37.1623
1938,45.5,87.4,-3.3,129.8,14.100,-2.80,29.28,33.0041
1939,49.3,93.4,8.1,130.9,13.900,0.00,-1.10,-1.1000
1940,55.2,102.9,8.8,132.1,14.000,0.70,-10.67,-11.2910
1941,62.5,129.3,17.7,133.4,14.700,9.90,-12.77,-20.6278
1942,71.2,166.0,18.9,134.9,16.300,9.00,19.17,9.3303
1943,89.9,203.1,17.0,136.7,17.300,3.00,25.06,21.4175
1944,106.8,224.4,8.0,138.4,17.600,2.30,19.03,16.3539
1945,126.6,228.0,-1.0,139.9,18.000,2.20,35.82,32.8963
1946,138.7,227.5,-11.6,141.4,19.500,18.10,-8.43,-22.4640
1947,146.0,249.6,-1.1,144.1,22.300,8.80,5.20,-3.3088
1948,148.1,274.5,4.1,146.6,24.100,3.00,5.70,2.6214
1949,147.5,272.5,-0.6,149.2,23.800,-2.10,18.30,20.8376
1950,150.8,299.8,8.7,152.3,24.100,5.90,30.81,23.5222
1951,156.5,346.9,8.1,154.9,26.000,6.00,23.68,16.6792
1952,164.9,367.3,4.1,157.6,26.500,0.80,18.15,17.2123
1953,171.2,389.2,4.7,160.2,26.700,0.70,-1.21,-1.8967
1954,177.2,390.5,-0.6,163.0,26.900,-0.70,52.56,53.6354
1955,183.7,425.5,7.1,165.9,26.800,0.40,32.60,32.0717
1956,186.9,449.4,2.1,168.9,27.200,3.00,7.44,4.3107
1957,191.8,474.0,2.1,172.0,28.100,2.90,-10.46,-12.9835
