observation_date,MANMM101JPM189S
1960-01-01,4079303625350.3799
1960-02-01,4021869747177.6001
1960-03-01,4110392833317.8198
1960-04-01,4169824411600.9600
1960-05-01,4219891770616.7998
1960-06-01,4270957979687.8198
1960-07-01,4421534625506.0303
1960-08-01,4387698579886.8506
1960-09-01,4470603134466.6895
1960-10-01,4577604946627.7207
1960-11-01,4690475002862.9297
1960-12-01,4786239751903.2002
1961-01-01,4912843996397.1201
1961-02-01,5065168629811.8896
1961-03-01,5139707815179.6094
1961-04-01,5371690740494.9004
1961-05-01,5333110157113.6201
1961-06-01,5469578045902.4316
1961-07-01,5532380743121.8008
1961-08-01,5601301396929.1406
1961-09-01,5650369905889.7998
1961-10-01,5676215151067.5508
1961-11-01,5743138104764.5293
1961-12-01,5830537484592.6807
1962-01-01,5883851106287.8496
1962-02-01,5926676802403.6396
1962-03-01,5942533547029.6094
1962-04-01,6080125142130.4893
1962-05-01,6135935888963.6094
1962-06-01,6196241461045.0303
1962-07-01,6291756497571.5107
1962-08-01,6412117929220.5596
1962-09-01,6587416113904.4404
1962-10-01,6619129603156.3691
1962-11-01,6773451936681.5000
1962-12-01,6896560205982.2998
1963-01-01,6553330355771.4707
1963-02-01,6757595192055.5391
1963-03-01,6939261045841.1904
1963-04-01,7087590279035.2500
1963-05-01,7265011020086.3906
1963-06-01,7486880588592.9902
1963-07-01,7568536580603.8594
1963-08-01,7702757056768.5195
1963-09-01,7874808978773.0703
1963-10-01,7924501769018.2207
1963-11-01,8198561252907.9092
1963-12-01,8171592301418.0781
1964-01-01,8275472707156.6797
1964-02-01,8338275404376.0508
1964-03-01,8418433121304.1504
1964-04-01,8513323876546.1406
1964-05-01,8622697957588.2305
1964-06-01,8693616311505.9199
1964-07-01,8817723430861.8984
1964-08-01,8913987604929.7598
1964-09-01,8859675133179.4102
1964-10-01,9044961818415.0801
1964-11-01,9260214005306.1191
1964-12-01,9289430369420.0996
1965-01-01,9558495603033.9004
1965-02-01,9619800025170.5000
1965-03-01,9580345447990.9414
1965-04-01,9729298962469.4805
1965-05-01,9846663843953.0000
1965-06-01,9901226028217.1387
